,answers,reason,guess,confidence,question,document,label
121,"[Reason]: The paragraph provides information about the Lordship of Ireland and its governance by the King of England, but it does not mention any specific individual who became Lord of Ireland at the age of 10 in 1177. Therefore, it does not directly answer the question about which future King became Lord of Ireland at that age and year. The paragraph lacks the specific detail needed to answer the question directly.

[Guess]: No.

[Confidence]: 0.9.","The paragraph provides information about the Lordship of Ireland and its governance by the King of England, but it does not mention any specific individual who became Lord of Ireland at the age of 10 in 1177. Therefore, it does not directly answer the question about which future King became Lord of Ireland at that age and year. The paragraph lacks the specific detail needed to answer the question directly.",No.,0.9.,Which future King became Lord of Ireland aged 10 years in 1177?,"Lordship of Ireland The Lordship of Ireland (), sometimes referred to retroactively as Norman Ireland, was the part of Ireland ruled by the King of England (styled as ""Lord of Ireland"") and controlled by loyal Anglo-Norman lords between 1177 and 1542. The lordship was created as a Papal possession following the Norman invasion of Ireland in 1169–1171. As the lord of Ireland was also the king of England, he was represented locally by a governor, variously known as justiciar, lieutenant, or Lord Deputy. The kings of England claimed lordship over the whole island, but in reality the king's rule only",rel
122,"[Reason]: The paragraph is helpful for answering the question because it directly states that John, who was nicknamed ""John Lackland,"" became Lord of Ireland in 1177 when he was 10 years old. This directly answers the question about which future King became Lord of Ireland at that age and year.

[Guess]: Yes.

[Confidence]: 1.0.","The paragraph is helpful for answering the question because it directly states that John, who was nicknamed ""John Lackland,"" became Lord of Ireland in 1177 when he was 10 years old. This directly answers the question about which future King became Lord of Ireland at that age and year.",Yes.,1.0.,Which future King became Lord of Ireland aged 10 years in 1177?,"about continuing to describe it as a kingdom as early as 1185. Having captured a small part of Ireland on the east coast, Henry used the land to solve a dispute dividing his family. For he had divided his territories between his sons, with the youngest being nicknamed ""Johan sanz Terre"" (in English, "" John (given name) Lackland"") as he was left without lands to rule. At the Oxford parliament in May 1177, Henry replaced William FitzAldelm and granted  John (given name) his Irish lands, so becoming Lord of Ireland (""Dominus Hiberniae"") in 1177 when he was 10 years old, with the territory being known",counter
123,"[Reason]: The paragraph provided contains information about Patrick Swayze, his family, and his career. It does not mention any historical figures, events, or titles related to the Lord of Ireland or any future kings from the year 1177. Therefore, it does not directly answer the question about which future King became Lord of Ireland at the age of 10 in 1177.

[Guess]: No.

[Confidence]: 1.0.","The paragraph provided contains information about Patrick Swayze, his family, and his career. It does not mention any historical figures, events, or titles related to the Lord of Ireland or any future kings from the year 1177. Therefore, it does not directly answer the question about which future King became Lord of Ireland at the age of 10 in 1177.",No.,1.0.,Which future King became Lord of Ireland aged 10 years in 1177?,"other films included """"The Outsiders"""" (1983), """"Road House"""" (1989), and """"Point Break"""" (1991). He wrote and recorded a song, """"She's Like the Wind"""", that was popular. He was posthumously awarded the Rolex Dance Award in 2009. Patrick Wayne Swayze was born on August 18, 1952, in Houston, Texas, the second child of Patsy Swayze (née Karnes; 1927–2013), a choreographer, dance instructor, and dancer, and Jesse Wayne Swayze (1925–1982), an engineering draftsman. He had two younger brothers, actor Don (born 1958) and Sean Kyle (born 1962), and two sisters, Vickie Lynn (1949–1994) and Bambi. Swayze's direct paternal ancestor was Englishman John",irrel
124,"[Reason]: The paragraph provides information that directly answers the question by stating that the Nurses' Health Study is a series of ""prospective studies."" This directly addresses the type of study the Nurses' Health Study is, which is what the question is asking for.

[Guess]: Yes.

[Confidence]: 1.0.","The paragraph provides information that directly answers the question by stating that the Nurses' Health Study is a series of ""prospective studies."" This directly addresses the type of study the Nurses' Health Study is, which is what the question is asking for.",Yes.,1.0.,the nurses ' health study is an example of what type of study,"Nurses' Health Study The Nurses Health Study (NHS) is a series of prospective studies that examine epidemiology and the long-term effects of nutrition, hormones, environment, and nurses' work-life on health and disease development. The studies have been among the largest investigations into risk factors for major chronic diseases ever conducted. The Nurses' Health Studies have led to many insights on health and well-being, including cancer prevention, cardiovascular disease, and type 2 diabetes. They have include clinicians, epidemiologists, and statisticians at the Channing Laboratory (of Brigham and Women's Hospital), Harvard Medical School, Harvard School of Public Health, and several Harvard-affiliated hospitals,",gold
125,"[Reason]: The paragraph provides details about the expansion and methodology of the Nurses' Health Study, such as the addition of a dietary questionnaire and the collection of physical samples. However, it does not directly state what type of study the Nurses' Health Study is. The information given is relevant to the study but does not directly answer the question about the type of study it represents (e.g., cohort study, case-control study, etc.).

[Guess]: No.

[Confidence]: 0.9.","The paragraph provides details about the expansion and methodology of the Nurses' Health Study, such as the addition of a dietary questionnaire and the collection of physical samples. However, it does not directly state what type of study the Nurses' Health Study is. The information given is relevant to the study but does not directly answer the question about the type of study it represents (e.g., cohort study, case-control study, etc.).",No.,0.9.,the nurses ' health study is an example of what type of study,"included Frank Speizer, Graham Colditz, Sue Hankinson, and Meir Stampfer. Over time, the study expanded. Most notably, a dietary questionnaire was added in 1980 due to investigators recognizing the impact of diet and nutrition on the development of Chronic disease.Blood, urine, saliva, and other physical samples were received and tested beginning in 1982. Experimenters followed up reports of morbidity using the National Death Index. Where possible and permitted, cancer diagnoses were reviewed. Although reports of other diseases were not followed up, self-reporting has been confirmed by medical records and doctors unaware of the answers to the study's questions. The Nurses'",rel
126,"[Reason]: The paragraph directly states that the Nurses' Health Study (NHS) is a series of retrospective studies. This directly answers the question about what type of study the Nurses' Health Study is, making the paragraph useful for answering the question.

[Guess]: Yes.

[Confidence]: 1.0.","The paragraph directly states that the Nurses' Health Study (NHS) is a series of retrospective studies. This directly answers the question about what type of study the Nurses' Health Study is, making the paragraph useful for answering the question.",Yes.,1.0.,the nurses ' health study is an example of what type of study,"control group following the same procedure with placebos. Findings from the study displayed a direct relationship between therapy and risk for heart disease, as opposed to the previously stated benefits. This finding largely opposed the published NHS conclusion. British Doctors Study Framingham Heart Study Nurses' Health Study The Nurses Health Study (NHS) is a series of  Retrospective studies that examine epidemiology and the long-term effects of nutrition, hormones, environment, and nurses' work-life on health and disease development. The studies have been among the largest investigations into risk factors for major chronic diseases ever conducted. The Nurses' Health Studies have led",counter
127,"[Reason]: The paragraph provided discusses information related to the Mountain Time Zone, including cities and broadcasting details. It does not mention or provide any information about the Nurses' Health Study or the type of study it represents. Therefore, the paragraph does not directly answer the question about the type of study the Nurses' Health Study is an example of. 
[Guess]: No.
[Confidence]: 1.0.","The paragraph provided discusses information related to the Mountain Time Zone, including cities and broadcasting details. It does not mention or provide any information about the Nurses' Health Study or the type of study it represents. Therefore, the paragraph does not directly answer the question about the type of study the Nurses' Health Study is an example of.",No.,1.0.,the nurses ' health study is an example of what type of study,"The largest city in the Mountain Time Zone is Phoenix, Arizona. The Phoenix metropolitan area is the largest metropolitan area in the zone; the next largest metropolitan area that observes Mountain Time is Denver, closely followed by the El Paso–Juárez area. TV broadcasting in the Mountain Time Zone is typically tape-delayed one hour, so that shows match the broadcast times of the Central Time Zone (i.e. prime time begins at 7 pm MT following the same order of programming as the Central Time Zone). Only one Canadian province is fully contained in the Mountain Time Zone: One province and one",irrel
128,"[Reason]: The paragraph does not directly answer the question of who won the WWE Championship Elimination Chamber 2018. It mentions Roman Reigns winning a seven-man Elimination Chamber match, but this was to become the number one contender for the Universal Championship, not the WWE Championship. The paragraph does not provide information about the WWE Championship match or its winner.

[Guess]: No.

[Confidence]: 0.9.","The paragraph does not directly answer the question of who won the WWE Championship Elimination Chamber 2018. It mentions Roman Reigns winning a seven-man Elimination Chamber match, but this was to become the number one contender for the Universal Championship, not the WWE Championship. The paragraph does not provide information about the WWE Championship match or its winner.",No.,0.9.,who won the wwe championship elimination chamber 2018,"Chamber match, the first event to include a women's Elimination Chamber match, and the first Raw-exclusive pay-per-view since the 2016 reintroduction of the brand extension to not feature any cruiserweight division matches. Six matches were contested at the event, including one on the pre-show. In the main event, Roman Reigns won the first-ever seven-man Elimination Chamber match to become the number one contender against Brock Lesnar for the Universal Championship at WrestleMania 34. On the undercard, Alexa Bliss retained the Raw Women's Championship in the first-ever women's Elimination Chamber match, and Asuka defeated Nia Jax to extend her undefeated streak",gold
129,"[Reason]: The paragraph does not provide information about who won the WWE Championship Elimination Chamber match in 2018. It mentions a titular Elimination Chamber match for the WWE Championship but does not specify the winner. The paragraph also discusses other matches and outcomes from the event, but none of these details directly answer the question about the winner of the WWE Championship Elimination Chamber 2018.
[Guess]: No.
[Confidence]: 0.9.","The paragraph does not provide information about who won the WWE Championship Elimination Chamber match in 2018. It mentions a titular Elimination Chamber match for the WWE Championship but does not specify the winner. The paragraph also discusses other matches and outcomes from the event, but none of these details directly answer the question about the winner of the WWE Championship Elimination Chamber 2018.",No.,0.9.,who won the wwe championship elimination chamber 2018,"titular Elimination Chamber match to become the new WWE Champion, the first singles championship of his career. On the undercard, Naomi defeated Alexa Bliss to become the new SmackDown Women's Champion, marking her first championship in WWE, Randy Orton defeated Luke Harper, American Alpha retained the SmackDown Tag Team Championship in a tag team turmoil match, and Becky Lynch defeated Mickie James. The card featured eight matches, including one on the pre-show, that resulted from scripted storylines, where wrestlers portrayed villains, heroes, or less distinguishable characters in scripted events that built tension and culminated in a wrestling match or series",rel
130,"[Reason]: The paragraph describes the events of an Elimination Chamber match, including the participants and the sequence of eliminations. It concludes with Roman Reigns winning the match. However, the question specifically asks about the winner of the ""WWE Championship Elimination Chamber 2018."" The paragraph mentions that Reigns earned the right to challenge for the Universal Championship, not the WWE Championship. Therefore, the paragraph does not directly answer the question about the WWE Championship Elimination Chamber winner.

[Guess]: No.

[Confidence]: 0.9.","The paragraph describes the events of an Elimination Chamber match, including the participants and the sequence of eliminations. It concludes with Roman Reigns winning the match. However, the question specifically asks about the winner of the ""WWE Championship Elimination Chamber 2018."" The paragraph mentions that Reigns earned the right to challenge for the Universal Championship, not the WWE Championship. Therefore, the paragraph does not directly answer the question about the WWE Championship Elimination Chamber winner.",No.,0.9.,who won the wwe championship elimination chamber 2018,"were The Miz, Seth Rollins, and Finn Bálor. John Cena entered the match as the fourth entrant, followed by  John Cena and Braun Strowman. Strowman performed a running powerslam on The Miz to eliminate him. The last man to enter the match was Elias. Strowman then eliminated Elias, Cena, Bálor, and Rollins by performing a running powerslam on each of them. The final two were Strowman and Reigns. In the climax, Reigns performed three superman punches and two spears on Strowman to win the match and earn the right to challenge Brock Lesnar for the Universal Championship at WrestleMania 34.",counter
131,"[Reason]: The paragraph provided discusses historical events related to the American Civil War, specifically focusing on the surrender of the Confederate Army and interactions between General Robert E. Lee and Lieutenant General Ulysses S. Grant. It does not mention anything related to WWE, the Elimination Chamber event, or the championship in 2018. Therefore, it does not directly answer the question about who won the WWE Championship Elimination Chamber 2018.

[Guess]: No.

[Confidence]: 1.0.","The paragraph provided discusses historical events related to the American Civil War, specifically focusing on the surrender of the Confederate Army and interactions between General Robert E. Lee and Lieutenant General Ulysses S. Grant. It does not mention anything related to WWE, the Elimination Chamber event, or the championship in 2018. Therefore, it does not directly answer the question about who won the WWE Championship Elimination Chamber 2018.",No.,1.0.,who won the wwe championship elimination chamber 2018,"surrendered at Liverpool, England. President Johnson formally declared the end of the war on August 20, 1866. General Robert E. Lee commanded the Army of Northern Virginia, while Major General John Brown Gordon commanded its Second Corps. Early in the morning of April 9, Gordon attacked, aiming to break through Federal lines at the Battle of Appomattox Court House, but failed, and the Confederate Army was then surrounded. At 8:30 A.M. that morning, Lee requested a meeting with Lieutenant General Ulysses S. Grant to discuss surrendering the Army of Northern Virginia. Shortly after twelve o'clock, Grant's reply reached Lee, and",irrel
132,"[Reason]: The paragraph does not directly answer the question about what Jamaica manufactures. It mentions Jamaican cuisine, beer, coffee, and sports, but it does not specify any manufactured goods or products. Therefore, it is not useful for answering the question about Jamaica's manufacturing activities.
[Guess]: No.
[Confidence]: 0.95.","The paragraph does not directly answer the question about what Jamaica manufactures. It mentions Jamaican cuisine, beer, coffee, and sports, but it does not specify any manufactured goods or products. Therefore, it is not useful for answering the question about Jamaica's manufacturing activities.",No.,0.95.,what does jamaica manufacturer?,"to make it in the Winter Olympics. The island is famous for its Jamaican jerk spice, curries and rice and peas which is integral to Jamaican cuisine. Jamaica is also home to Red Stripe beer and Jamaican Blue Mountain Coffee. Sport is an integral part of national life in Jamaica and the island's athletes tend to perform to a standard well above what might ordinarily be expected of such a small country. While the most popular local sport is cricket, on the international stage Jamaicans have tended to do particularly well at track and field athletics. Jamaica has produced some",gold
133,"[Reason]: The paragraph discusses various Caribbean food brands, some of which have connections to Jamaica, such as Grace Foods. However, it does not directly address what Jamaica manufactures. It mentions that Grace Foods is originally from Jamaica, but it does not specify what products are manufactured in Jamaica itself. Therefore, the paragraph does not provide a direct answer to the question about what Jamaica manufactures.

[Guess]: No.

[Confidence]: 0.9.","The paragraph discusses various Caribbean food brands, some of which have connections to Jamaica, such as Grace Foods. However, it does not directly address what Jamaica manufactures. It mentions that Grace Foods is originally from Jamaica, but it does not specify what products are manufactured in Jamaica itself. Therefore, the paragraph does not provide a direct answer to the question about what Jamaica manufactures.",No.,0.9.,what does jamaica manufacturer?,"The best known Caribbean food brands in the UK are Dunn's River, Tropical Sun, Walkerswood and Grace Foods. Grace Foods is originally from Jamaica but is now a multi national conglomerate. In March 2007 Grace Foods bought ENCO Products, owners of the Dunn's River Brand, as well as """"Nurishment"""", a flavoured, sweetened enriched milk drink, and the iconic Encona Sauce Range. Tropical Sun products and ingredients have been widely available in the UK for over 20 years and were originally known as Jamaica Sun with products mainly sourced from the Caribbean. Walkerswood is now owned by New Castle Limited has",rel
134,"[Reason]: The paragraph mentions Red Stripe, an internationally popular Jamaican beer produced by Desnoes & Geddes, along with other beverages like Red Stripe Light, Dragon Stout, and Malta. This directly answers the question about what Jamaica manufactures, as it lists specific products made in Jamaica. Therefore, the paragraph is useful for answering the question.

[Guess]: Yes.

[Confidence]: 0.9.","The paragraph mentions Red Stripe, an internationally popular Jamaican beer produced by Desnoes & Geddes, along with other beverages like Red Stripe Light, Dragon Stout, and Malta. This directly answers the question about what Jamaica manufactures, as it lists specific products made in Jamaica. Therefore, the paragraph is useful for answering the question.",Yes.,0.9.,what does jamaica manufacturer?,"Brasserie Nationale d'Haïti in Port-au-Prince, Haiti. It is the best-selling beer in Haiti, claiming a 98% market share. Prestige beer is also available in some parts of the United States. Prestige beer was launched in 1976, less than 2 years after BRANA's creation. In 2000 and again in 2012, it won the gold medal at the World Beer Cup for American-style lager.  Red Stripe is an internationally popular Jamaican beer produced by Desnoes & Geddes. It is a pale lager. The company also produces  Red Stripe Light, Dragon Stout and Malta, a non-alcoholic beverage. """"Kingston 62"""", alternately """"Kingston Beer"""" is",counter
135,"[Reason]: The paragraph provided discusses biblical women and their roles, specifically focusing on Ruth and Esther. It does not mention Jamaica or anything related to manufacturing in Jamaica. Therefore, the paragraph does not contain any content that directly answers the question about what Jamaica manufactures. 
[Guess]: No.
[Confidence]: 1.0.","The paragraph provided discusses biblical women and their roles, specifically focusing on Ruth and Esther. It does not mention Jamaica or anything related to manufacturing in Jamaica. Therefore, the paragraph does not contain any content that directly answers the question about what Jamaica manufactures.",No.,1.0.,what does jamaica manufacturer?,"biblical women had what anthropology terms ""informal power."" Ruth is the title character of the Book of Ruth. In the narrative, she is not an Israelite but rather is from Moab; she marries an Israelite. Both her husband and her father-in-law die, and she helps her mother-in-law, Naomi, find protection. The two of them travel to Bethlehem together, where Ruth wins the love of Boaz through her kindness. She is one of five women mentioned in the genealogy of Jesus found in the Gospel of Matthew, alongside Tamar, Rahab, the ""wife of Uriah"" (Bathsheba), and Mary. Esther is described in",irrel
136,"[Reason]: The paragraph does not provide the name of Tom Hanks' character in ""Castaway."" It mentions the character Chuck Noland, but it does not explicitly state that this is Tom Hanks' character. The paragraph focuses more on the impact of the film on FedEx and the creation of the character Wilson the volleyball, rather than directly answering the question about Tom Hanks' character name.

[Guess]: No.

[Confidence]: 0.8.","The paragraph does not provide the name of Tom Hanks' character in ""Castaway."" It mentions the character Chuck Noland, but it does not explicitly state that this is Tom Hanks' character. The paragraph focuses more on the impact of the film on FedEx and the creation of the character Wilson the volleyball, rather than directly answering the question about Tom Hanks' character name.",No.,0.8.,what was tom hanks character name in castaway,"a story based on a FedEx plane crashing gave the company ""a heart attack at first,"" but the overall story was seen as positive. FedEx, which paid no money for product placement in the film, saw an increase in brand awareness in Asia and Europe following the film's release. In the film, Wilson the volleyball serves as Chuck Noland's personified friend and only companion during the four years that Noland spends alone on a deserted island. Named after the volleyball's manufacturer, Wilson Sporting Goods, the character was created by screenwriter William Broyles, Jr.. While researching for the film, he consulted",gold
137,"[Reason]: The paragraph provides details about a character who is a systems engineer working for FedEx and is involved in a plane crash, which aligns with the plot of the movie ""Cast Away."" However, it does not directly mention the character's name, which is what the question is asking for. Therefore, the paragraph does not directly answer the question about Tom Hanks' character's name in ""Cast Away.""

[Guess]: No.

[Confidence]: 0.9.","The paragraph provides details about a character who is a systems engineer working for FedEx and is involved in a plane crash, which aligns with the plot of the movie ""Cast Away."" However, it does not directly mention the character's name, which is what the question is asking for. Therefore, the paragraph does not directly answer the question about Tom Hanks' character's name in ""Cast Away.""",No.,0.9.,what was tom hanks character name in castaway,"time-obsessed systems engineer who travels worldwide resolving productivity problems at FedEx depots. He is in a long-term relationship with Kelly Frears, with whom he lives in Memphis, Tennessee. Although the couple wants to get married, Chuck's busy schedule interferes with their relationship. A Christmas gathering with relatives is interrupted when Chuck is summoned to resolve a problem in Malaysia. While flying through a violent storm, his plane crashes into the Pacific Ocean. Chuck escapes from the sinking plane and is saved by an inflatable life raft, but loses the emergency locator transmitter. He clings to the life raft, loses consciousness,",rel
138,"[Reason]: The paragraph provides background information about the film ""Cast Away,"" including details about its release, success, and the fact that Tom Hanks stars in it. However, it does not directly answer the question of what Tom Hanks' character's name is in the film. The paragraph lacks the specific information needed to answer the question directly, which is the character's name.

[Guess]: No.

[Confidence]: 0.9.","The paragraph provides background information about the film ""Cast Away,"" including details about its release, success, and the fact that Tom Hanks stars in it. However, it does not directly answer the question of what Tom Hanks' character's name is in the film. The paragraph lacks the specific information needed to answer the question directly, which is the character's name.",No.,0.9.,what was tom hanks character name in castaway,"Cast Away Cast Away is a 2000 American survival film directed and co-produced by Robert Zemeckis and starring Tom Hanks, Helen Hunt, and Nick Searcy. The film depicts a FedEx employee marooned on an uninhabited island after his plane crashes in the South Pacific and his attempts to survive on the island using remnants of his plane's cargo. The film was released on December 22, 2000. It was a critical and commercial success, grossing $429 million worldwide, with Hanks being nominated for Best Actor in a Leading Role at the 73rd Academy Awards. In December 1995,  Tom Hanks is a",counter
139,"[Reason]: The paragraph provided discusses the Appalachian Trail, which is unrelated to the movie ""Castaway"" or Tom Hanks' character in that film. It does not contain any information about the movie or the character's name, and therefore does not directly answer the question about Tom Hanks' character name in ""Castaway.""

[Guess]: No.

[Confidence]: 1.0.","The paragraph provided discusses the Appalachian Trail, which is unrelated to the movie ""Castaway"" or Tom Hanks' character in that film. It does not contain any information about the movie or the character's name, and therefore does not directly answer the question about Tom Hanks' character name in ""Castaway.""",No.,1.0.,what was tom hanks character name in castaway,"Appalachian Trail The Appalachian National Scenic Trail, generally known as the Appalachian Trail or simply the A.T., is a marked hiking trail in the Eastern United States extending between Springer Mountain in Georgia and Mount Katahdin in Maine. The trail is about long, though the exact length changes over time as parts are modified or rerouted. The Appalachian Trail Conservancy describes the Appalachian Trail as the longest hiking-only trail in the world. More than 2 million people are said to take a hike on part of the trail at least once each year. The idea of the Appalachian Trail came",irrel
140,"[Reason]: The paragraph discusses the annual meeting of the All-India Muhammadan Educational Conference held in Dhaka in 1906, but it does not explicitly mention the first session of the Muslim League. While the paragraph is related to the context of Muslim political activities in India, it does not directly answer the question about the location of the first session of the Muslim League. Therefore, it is not useful for answering the specific question asked.

[Guess]: No.

[Confidence]: 0.9.","The paragraph discusses the annual meeting of the All-India Muhammadan Educational Conference held in Dhaka in 1906, but it does not explicitly mention the first session of the Muslim League. While the paragraph is related to the context of Muslim political activities in India, it does not directly answer the question about the location of the first session of the Muslim League. Therefore, it is not useful for answering the specific question asked.",No.,0.9.,where was held the first session of muslim league,"taken earlier at the Lucknow meeting and later in Simla, the annual meeting of the All-India Muhammadan Educational Conference was held in Dhaka from 27 December until 30 December 1906. Three thousand delegates attended, headed by both Nawab Waqar-ul-Mulk and Nawab Muhasan-ul-Mulk (the Secretary of the Muhammaden Educational Conference), in which they explained its objectives and stressed the unity of Muslims under the banner of an association. It was formally proposed by Nawab Salimullah Khan and supported by Hakim Ajmal Khan, Maulana Muhammad Ali Jauhar, Zafar Ali Khan, Syed Nabiullah, a barrister from Lucknow, and Syed Zahur Ahmad, an eminent",gold
141,"[Reason]: The paragraph provides information about the leadership and organizational structure of the Muslim League, mentioning figures like Sir Sultan Muhammad Shah (Aga Khan III) and the framing of the League's constitution. However, it does not mention the location of the first session of the Muslim League, which is the specific information needed to answer the question. Therefore, the paragraph does not directly answer the question about where the first session was held.

[Guess]: No.

[Confidence]: 0.9.","The paragraph provides information about the leadership and organizational structure of the Muslim League, mentioning figures like Sir Sultan Muhammad Shah (Aga Khan III) and the framing of the League's constitution. However, it does not mention the location of the first session of the Muslim League, which is the specific information needed to answer the question. Therefore, the paragraph does not directly answer the question about where the first session was held.",No.,0.9.,where was held the first session of muslim league,"lawyer, as well as several others. Sir Sultan Muhammad Shah (Aga Khan III) was appointed the first honorary president of the Muslim League, though he did not attend the Dhaka inaugural session. There were also six vice-presidents, a secretary, and two joint secretaries initially appointed for a three-year term, proportionately from different provinces. The League's constitution was framed in 1907, espoused in the ""Green Book,"" written by Maulana Mohammad Ali. Aga Khan III shared Ahmad Khan's belief that Muslims should first build up their social capital through advanced education before engaging in politics, but would later boldly tell the British",rel
142,"[Reason]: The paragraph provides information about the formation of the All-India Muslim League and mentions a meeting held in Mumbai, India, which could be related to the early activities of the Muslim League. However, it does not explicitly state that this was the first session of the Muslim League. Therefore, while it is related to the topic, it does not directly answer the question about where the first session of the Muslim League was held.

[Guess]: No.

[Confidence]: 0.8.","The paragraph provides information about the formation of the All-India Muslim League and mentions a meeting held in Mumbai, India, which could be related to the early activities of the Muslim League. However, it does not explicitly state that this was the first session of the Muslim League. Therefore, while it is related to the topic, it does not directly answer the question about where the first session of the Muslim League was held.",No.,0.8.,where was held the first session of muslim league,"was to advocate for British education, especially science and literature, among India's Muslims. The conference, in addition to generating funds for Sir Syed's Aligarh Muslim University, motivated the Muslim upper class to propose an expansion of educational uplift elsewhere, known as the Aligarh Movement. In turn, this new awareness of Muslim needs helped stimulate a political consciousness among Muslim elites, who went on to form the All-India Muslim League. The formation of a Muslim political party on the national level was seen as essential by 1901. The first stage of its formation was the meeting held at  Mumbai, India in September",counter
143,"[Reason]: The paragraph provided discusses the Maldivian rufiyaa, its banknotes, and the Maldives Monetary Authority. It does not mention anything about the Muslim League or the location of its first session. Therefore, the paragraph does not contain any information that directly answers the question about where the first session of the Muslim League was held.

[Guess]: No.

[Confidence]: 1.0.","The paragraph provided discusses the Maldivian rufiyaa, its banknotes, and the Maldives Monetary Authority. It does not mention anything about the Muslim League or the location of its first session. Therefore, the paragraph does not contain any information that directly answers the question about where the first session of the Muslim League was held.",No.,1.0.,where was held the first session of muslim league,"of 1,000 rufiyaa. A 5 rufiyaa banknote printed in polymer was revealed in May 2017 and was issued in July 2017. It was originally planned that this denomination was to be replaced by a coin of the same denomination, but public input convinced the Maldives Monetary Authority to go for the note. Illustrations on the bank notes were done by Maizan Hassan Manik and Abbaas (Bamboo). Maldivian rufiyaa The Maldivian rufiyaa (; sign: Rf or ; code: MVR) is the currency of the Maldives. The issuance of the currency is controlled by the Maldives Monetary Authority (MMA). The most commonly",irrel
144,"[Reason]: The paragraph provides information about the film ""Willard,"" including details about the main character's interactions and relationships. It mentions that Willard becomes obsessed with a white rat named Socrates, which suggests that the creatures he has control over are rats. This directly answers the question about the type of creatures Willard has a strange control over in the film.

[Guess]: Yes.

[Confidence]: 0.9.","The paragraph provides information about the film ""Willard,"" including details about the main character's interactions and relationships. It mentions that Willard becomes obsessed with a white rat named Socrates, which suggests that the creatures he has control over are rats. This directly answers the question about the type of creatures Willard has a strange control over in the film.",Yes.,0.9.,"The 2003 film remake 'Willard' starring Crispin Glover, tells the story of a young man who has a strange control over which type of creatures ?","Henrietta (Jackie Burroughs) in a musty old mansion that is also home to a colony of rats. Willard finds himself constantly humiliated in front of his co-workers by his cruel boss, Frank Martin (R. Lee Ermey), a vicious man who assumed control of the company from Willard's father upon his death by suicide, and whose professional interest in Willard extends to a personal financial one. A co-worker, Cathryn (Laura Elena Harring), has sympathy for the quirky Willard. Cathryn becomes Willard's friend and love interest. Willard quickly becomes obsessed with his friendship with a white rat he names Socrates. Willard then",gold
145,"[Reason]: The paragraph provides background information about the 2003 film ""Willard,"" including details about its production, cast, and the character of Willard Stiles. However, it does not directly answer the question regarding the type of creatures over which the young man, Willard, has control. The question specifically asks about the creatures, and the paragraph does not mention them at all. Therefore, the paragraph is not useful for answering the question.

[Guess]: No.

[Confidence]: 0.95.","The paragraph provides background information about the 2003 film ""Willard,"" including details about its production, cast, and the character of Willard Stiles. However, it does not directly answer the question regarding the type of creatures over which the young man, Willard, has control. The question specifically asks about the creatures, and the paragraph does not mention them at all. Therefore, the paragraph is not useful for answering the question.",No.,0.95.,"The 2003 film remake 'Willard' starring Crispin Glover, tells the story of a young man who has a strange control over which type of creatures ?","Willard (2003 film) Willard is a 2003 American horror film co-written and directed by Glen Morgan and starring Crispin Glover, R. Lee Ermey and Laura Elena Harring. It is loosely based on the novel ""Ratman's Notebooks"" by Stephen Gilbert, as well as on the novel's first film adaptation, ""Willard"" (1971). It was not billed as a remake by the producers, who chose instead to present it as a reworking of the themes from the original, with a stronger focus on suspense. Willard Stiles (Crispin Glover) is a social misfit taking care of his ill and fragile but verbally abusive mother",rel
146,"[Reason]: The paragraph provides information about Willard's interactions with rats, mentioning that he trains and befriends them, and that a rat named Ben assumes a leadership role among them. This directly answers the question by indicating that the creatures Willard has control over are rats. Therefore, the paragraph is useful for answering the question about which type of creatures Willard has a strange control over in the film ""Willard.""

[Guess]: Yes.

[Confidence]: 0.9.","The paragraph provides information about Willard's interactions with rats, mentioning that he trains and befriends them, and that a rat named Ben assumes a leadership role among them. This directly answers the question by indicating that the creatures Willard has control over are rats. Therefore, the paragraph is useful for answering the question about which type of creatures Willard has a strange control over in the film ""Willard.""",Yes.,0.9.,"The 2003 film remake 'Willard' starring Crispin Glover, tells the story of a young man who has a strange control over which type of creatures ?","begins to train and befriend the other rats, including an extra large one he names Ben. Ben begins to assume a position of ""leadership"" among the other rats, while Socrates remains Willard's favorite. After he trains the rats sufficiently, Willard takes them to Martin's home, where he orders them to chew up the tires on Martin's Mercedes-Benz. Willard's mother panics when she overhears the rats and later dies by falling down the stairs of the basement. Now Socrates is all he has left. Willard learns soon afterward that the payments on the house have fallen far behind and that the",counter
147,"[Reason]: The paragraph provided does not contain any information related to the 2003 film remake ""Willard"" or the creatures over which the main character has control. Instead, it discusses the background of Frank Lee Morris, a person unrelated to the film or its plot. Therefore, the paragraph is not helpful in answering the question about the type of creatures in the film ""Willard.""

[Guess]: No.

[Confidence]: 1.0.","The paragraph provided does not contain any information related to the 2003 film remake ""Willard"" or the creatures over which the main character has control. Instead, it discusses the background of Frank Lee Morris, a person unrelated to the film or its plot. Therefore, the paragraph is not helpful in answering the question about the type of creatures in the film ""Willard.""",No.,1.0.,"The 2003 film remake 'Willard' starring Crispin Glover, tells the story of a young man who has a strange control over which type of creatures ?","and the Anglins and the other two being Theodore Cole and Ralph Roe) are listed as ""missing and presumed drowned"". Frank Lee Morris (September 1, 1926 – disappeared June 11, 1962) was born in Washington, D.C.. He was abandoned by his mother and father during his childhood, and orphaned at age 11, and spent most of his formative years in foster homes. He was convicted of his first crime at age 13, and by his late teens had been arrested for crimes ranging from narcotics possession to armed robbery. He spent most of his early years in jail serving lunch",irrel
